Company Name,Sector
IT Graduate,Recruitment
RJC Group,Recruitment
Austin Fraser,Recruitment
Hexwired Recruitment Limited,Recruitment
Eligo Recruitment Limited,Recruitment
Illumina,Biotechnology
Systems Accountants,Recruitment
Alvarium Talent,Recruitment
Universities Superannuation Scheme Limited,Financial Services
Accolite,Technology
ITonlinelearning,Education
MedMatch,Healthcare
Holiferm,Biotechnology
MJ Quinn Integrated Services,Telecommunications
FinElk,Public Relations
DataConsulting,Consulting
Affinity Water,Utilities
Harnham,Recruitment
BlackRock,Financial Services
Captify,Advertising Technology
Innovate,Consulting
Next Gen Diagnostics,Healthcare
Ripple,Financial Technology
Checkout.com,Financial Technology
Intellect Group,Recruitment
King,Gaming
ACI Marketing Limited,Marketing
Sharpsmart,Healthcare
Nichola Act,Recruitment
Legal and General,Financial Services
Yassir,Transportation
eToro,Financial Technology
UCB,Pharmaceuticals
ASOS,Retail
Network IT,Recruitment
VRS-UK,Recruitment
PEP Health,Healthcare Technology
Intec Select,Recruitment
Rightmove,Real Estate
ExamWorksUK,Healthcare
Locke and McCloud,Recruitment
Aviva,Financial Services
Stephens Harwood,Legal Services
Multiverse,Education Technology
Yes Energy LLC,Energy
Digital Realty,Real Estate
Longshot Systems Limited,Technology
TVS Supply Chain Solutions,Logistics
Ripjar,Technology
Siemens,Conglomerate
Sky,Media
Hed Workshop,Design
Dentsu,Advertising
Stott & May Professional Search Limited,Recruitment
In Technology Group,Recruitment
Reds10 (UK) Limited,Construction
Trustpilot,Technology
Rise Technical Recruitment Limited,Recruitment
Ben,Healthcare
Euro Car Parks,Parking Services
Right Now Residential,Real Estate
Frontier Economics,Consulting
SDG Group UK,Consulting
Parico,Consulting
Space NK,Retail
Thredd,Technology
Retail Reporting Analyst,Retail
Alfa Technology,Technology
Tencent,Technology
Butterworth Laboratories,Pharmaceuticals
SRG,Recruitment
CBSbutler Holdings,Recruitment
TVS SCS,Logistics
1SM,Consulting
Spectrum IT Recruitment,Recruitment
Russell Taylor Group Limited,Recruitment
Search Allies Limited,Recruitment
S3 Science,Recruitment
Acorn by Synergie,Recruitment
Alexander Steele,Recruitment
Tritility Limited,Energy
Brown Turner Ross Limited,Legal Services
Simplyhealth,Healthcare
Grayce,Consulting
eBay,E-commerce
ConsoneAI,Technology
Anthony Nolan,Non-Profit
