ID,Company,Stage,Position,Date,Salary,Location
1,IT Graduate,Rejected,Graduate/Junior Data Scientist,31-Dec-23,37656,"London, Greater London"
2,RJC Group,Rejected,Python Developer,31-Dec-23,34257,"London, Greater London"
3,Austin Fraser,Ghosted,Junior Front End Engineer,05-Jan-24,38547,"London, Greater London"
4,Hexwired Recruitment Limited,Rejected,Junior Python Developer,05-Jan-24,31815,"London, Greater London"
5,Eligo Recruitment Ltd,Rejected,Tech Consultant,05-Jan-24,49908,"London, Greater London"
6,illumina,Rejected,Technical Applications Scientist,08-Jan-24,35000,"Cambridge, Cambridgeshire"
7,Systems Accountants,Ghosted,Data and Reporting Analyst,09-Jan-24,30000,"London, Greater London"
8,Alvarium Talent,Ghosted,Software Engineer,11-Jan-24,49977,"London, Greater London"
9,Universities Superannuation Scheme (Ltd),Rejected,Python Rejected Developer,12-Jan-24,33379,"London, Greater London"
10,Accolite,Ghosted,Python Graduate Programme 2024,13-Jan-24,36924,"London, Greater London"
11,ITonlinelearning,Rejected,Coding Trainee Placement Programme,16-Jan-24,29550,"London, Greater London"
12,MedMatch,Ghosted,In-House IT Administrator,16-Jan-24,29191,"London, Greater London"
13,Holiferm,Ghosted,Junior Analytical Scientist,16-Jan-24,30308,"London, Greater London"
14,MJ Quinn Intergrated Services,Rejected,Fleet Systems and Data Analyst,17-Jan-24,33969,"London, Greater London"
15,FinElk,Rejected,Graduate Intern,17-Jan-24,39192,"London, Greater London"
16,DataConsulting,Ghosted,Data Analytics Consultant,19-Jan-24,37312,"London, Greater London"
17,Affinity Water,Rejected,Data Scientist - Technology,19-Jan-24,36876,"London, Greater London"
18,Harnham,Ghosted,Junior Analyst,19-Jan-24,26857,"London, Greater London"
19,BlackRock,Rejected,Analyst Programme Technology Operations 2025,20-Jan-24,35932,"London, Greater London"
20,Captify®,Rejected,Junior Insights Analyst,21-Jan-24,26924,"London, Greater London"
21,Innovate,Rejected,Data Scientist,24-Jan-24,25434,"London, Greater London"
