ID,Company,Stage,Position,Date,Salary,Location,Sector
1,it graduate,Rejected,Graduate/Junior Data Scientist,31-Dec-23,37656,"London, Greater London",Recruitment
2,rjc group,Rejected,Python Developer,31-Dec-23,34257,"London, Greater London",Recruitment
2,rjc group,Rejected,Python Developer,31-Dec-23,34257,"London, Greater London",Recruitment
3,austin fraser,Ghosted,Junior Front End Engineer,05-Jan-24,38547,"London, Greater London",Recruitment
3,austin fraser,Ghosted,Junior Front End Engineer,05-Jan-24,38547,"London, Greater London",Recruitment
4,hexwired recruitment limited,Rejected,Junior Python Developer,05-Jan-24,31815,"London, Greater London",Recruitment
4,hexwired recruitment limited,Rejected,Junior Python Developer,05-Jan-24,31815,"London, Greater London",Recruitment
5,eligo recruitment ltd,Rejected,Tech Consultant,05-Jan-24,49908,"London, Greater London",
6,illumina,Rejected,Technical Applications Scientist,08-Jan-24,35000,"Cambridge, Cambridgeshire",Biotechnology
6,illumina,Rejected,Technical Applications Scientist,08-Jan-24,35000,"Cambridge, Cambridgeshire",Biotechnology
7,systems accountants,Ghosted,Data and Reporting Analyst,09-Jan-24,30000,"London, Greater London",Recruitment
7,systems accountants,Ghosted,Data and Reporting Analyst,09-Jan-24,30000,"London, Greater London",Recruitment
8,alvarium talent,Ghosted,Software Engineer,11-Jan-24,49977,"London, Greater London",Recruitment
8,alvarium talent,Ghosted,Software Engineer,11-Jan-24,49977,"London, Greater London",Recruitment
9,universities superannuation scheme (ltd),Rejected,Python Rejected Developer,12-Jan-24,33379,"London, Greater London",
10,accolite,Ghosted,Python Graduate Programme 2024,13-Jan-24,36924,"London, Greater London",Technology
10,accolite,Ghosted,Python Graduate Programme 2024,13-Jan-24,36924,"London, Greater London",Information Technology
11,itonlinelearning,Rejected,Coding Trainee Placement Programme,16-Jan-24,29550,"London, Greater London",Education
11,itonlinelearning,Rejected,Coding Trainee Placement Programme,16-Jan-24,29550,"London, Greater London",Education
12,medmatch,Ghosted,In-House IT Administrator,16-Jan-24,29191,"London, Greater London",Healthcare
12,medmatch,Ghosted,In-House IT Administrator,16-Jan-24,29191,"London, Greater London",Healthcare
13,holiferm,Ghosted,Junior Analytical Scientist,16-Jan-24,30308,"London, Greater London",Biotechnology
13,holiferm,Ghosted,Junior Analytical Scientist,16-Jan-24,30308,"London, Greater London",Biotechnology
14,mj quinn intergrated services,Rejected,Fleet Systems and Data Analyst,17-Jan-24,33969,"London, Greater London",
15,finelk,Rejected,Graduate Intern,17-Jan-24,39192,"London, Greater London",Public Relations
15,finelk,Rejected,Graduate Intern,17-Jan-24,39192,"London, Greater London",Public Relations
16,dataconsulting,Ghosted,Data Analytics Consultant,19-Jan-24,37312,"London, Greater London",Consulting
16,dataconsulting,Ghosted,Data Analytics Consultant,19-Jan-24,37312,"London, Greater London",Consulting
17,affinity water,Rejected,Data Scientist - Technology,19-Jan-24,36876,"London, Greater London",Utilities
17,affinity water,Rejected,Data Scientist - Technology,19-Jan-24,36876,"London, Greater London",Utilities
18,harnham,Ghosted,Junior Analyst,19-Jan-24,26857,"London, Greater London",Recruitment
18,harnham,Ghosted,Junior Analyst,19-Jan-24,26857,"London, Greater London",Recruitment
18,harnham,Ghosted,Junior Analyst,19-Jan-24,26857,"London, Greater London",Recruitment
19,blackrock,Rejected,Analyst Programme Technology Operations 2025,20-Jan-24,35932,"London, Greater London",Financial Services
19,blackrock,Rejected,Analyst Programme Technology Operations 2025,20-Jan-24,35932,"London, Greater London",Financial Services
19,blackrock,Rejected,Analyst Programme Technology Operations 2025,20-Jan-24,35932,"London, Greater London",Financial Services
20,captify®,Rejected,Junior Insights Analyst,21-Jan-24,26924,"London, Greater London",Marketing Technology
20,captify®,Rejected,Junior Insights Analyst,21-Jan-24,26924,"London, Greater London",Marketing Technology
21,innovate,Rejected,Data Scientist,24-Jan-24,25434,"London, Greater London",Consulting
21,innovate,Rejected,Data Scientist,24-Jan-24,25434,"London, Greater London",Consulting
21,innovate,Rejected,Data Scientist,24-Jan-24,25434,"London, Greater London",Consulting
22,next gen diagnostics,Ghosted,Scientific data curator,24-Jan-24,28209,"London, Greater London",Healthcare
22,next gen diagnostics,Ghosted,Scientific data curator,24-Jan-24,28209,"London, Greater London",Healthcare
22,next gen diagnostics,Ghosted,Scientific data curator,24-Jan-24,28209,"London, Greater London",Healthcare
23,ripple,Ghosted,"Software Engineer Intern, Crypto Compliance & Finance (Summer 2024)",26-Jan-24,34762,"London, Greater London",Financial Technology
23,ripple,Ghosted,"Software Engineer Intern, Crypto Compliance & Finance (Summer 2024)",26-Jan-24,34762,"London, Greater London",Financial Technology
23,ripple,Ghosted,"Software Engineer Intern, Crypto Compliance & Finance (Summer 2024)",26-Jan-24,34762,"London, Greater London",Technology (Blockchain)
24,checkout.com,Rejected,Data Scientist Payment Success,27-Jan-24,28105,"London, Greater London",Financial Technology
24,checkout.com,Rejected,Data Scientist Payment Success,27-Jan-24,28105,"London, Greater London",Financial Technology
24,checkout.com,Rejected,Data Scientist Payment Success,27-Jan-24,28105,"London, Greater London",Financial Technology
25,intellect group,Ghosted,Junior Data Analyst,27-Jan-24,26521,"London, Greater London",Recruitment
25,intellect group,Ghosted,Junior Data Analyst,27-Jan-24,26521,"London, Greater London",Recruitment
25,intellect group,Ghosted,Junior Data Analyst,27-Jan-24,26521,"London, Greater London",Recruitment
26,king,Rejected,Summer Technology Internships 2024,27-Jan-24,27884,"London, Greater London",Gaming
26,king,Rejected,Summer Technology Internships 2024,27-Jan-24,27884,"London, Greater London",Gaming
26,king,Rejected,Summer Technology Internships 2024,27-Jan-24,27884,"London, Greater London",Entertainment (Gaming)
27,aci marketing ltd,Rejected,Financial Analyst (With Sponsorship Visa If Required),29-Jan-24,26394,"London, Greater London",
28,sharpsmart,Rejected,Junior Commercial Finance Analyst,29-Jan-24,25454,"London, Greater London",Healthcare
28,sharpsmart,Rejected,Junior Commercial Finance Analyst,29-Jan-24,25454,"London, Greater London",Healthcare
28,sharpsmart,Rejected,Junior Commercial Finance Analyst,29-Jan-24,25454,"London, Greater London",Healthcare Services
29,intellect group,Ghosted,Data Analyst,30-Jan-24,35000,"London, Greater London",Recruitment
29,intellect group,Ghosted,Data Analyst,30-Jan-24,35000,"London, Greater London",Recruitment
29,intellect group,Ghosted,Data Analyst,30-Jan-24,35000,"London, Greater London",Recruitment
30,nichola act,Ghosted,Junior Finance Analyst,30-Jan-24,39366,"London, Greater London",Recruitment
30,nichola act,Ghosted,Junior Finance Analyst,30-Jan-24,39366,"London, Greater London",Recruitment
30,nichola act,Ghosted,Junior Finance Analyst,30-Jan-24,39366,"London, Greater London",Recruitment
31,it graduate,Ghosted,Graduate/Junior IT Support Engineer,01-Feb-24,26029,"London, Greater London",Recruitment
32,legal and general,Ghosted,Junior Data Protection and Risk Analyst - HR,01-Feb-24,27772,"London, Greater London",Financial Services
32,legal and general,Ghosted,Junior Data Protection and Risk Analyst - HR,01-Feb-24,27772,"London, Greater London",Financial Services
32,legal and general,Ghosted,Junior Data Protection and Risk Analyst - HR,01-Feb-24,27772,"London, Greater London",Financial Services
33,yassir,Rejected,Backend Software Engineer,03-Feb-24,29343,"London, Greater London",Transportation
33,yassir,Rejected,Backend Software Engineer,03-Feb-24,29343,"London, Greater London",Transportation Technology
33,yassir,Rejected,Backend Software Engineer,03-Feb-24,29343,"London, Greater London",Technology (Ride-Hailing)
34,etoro,Rejected,Business Analyst,05-Feb-24,30554,"London, Greater London",Financial Technology
34,etoro,Rejected,Business Analyst,05-Feb-24,30554,"London, Greater London",Financial Technology
34,etoro,Rejected,Business Analyst,05-Feb-24,30554,"London, Greater London",Financial Technology
35,austin fraser,Rejected,Data Analyst - Tableau,06-Feb-24,35000,"London, Greater London",Recruitment
35,austin fraser,Rejected,Data Analyst - Tableau,06-Feb-24,35000,"London, Greater London",Recruitment
36,ucb,Ghosted,Associate Scientist - Biologics Upstream,07-Feb-24,33805,"London, Greater London",Pharmaceuticals
36,ucb,Ghosted,Associate Scientist - Biologics Upstream,07-Feb-24,33805,"London, Greater London",Pharmaceuticals
36,ucb,Ghosted,Associate Scientist - Biologics Upstream,07-Feb-24,33805,"London, Greater London",Pharmaceuticals
37,asos,Rejected,Insight Analyst (Customer and Marketing),08-Feb-24,37727,"London, Greater London",Retail
37,asos,Rejected,Insight Analyst (Customer and Marketing),08-Feb-24,37727,"London, Greater London",Retail
37,asos,Rejected,Insight Analyst (Customer and Marketing),08-Feb-24,37727,"London, Greater London",Retail (E-commerce)
38,intellect group,Ghosted,Junior Data Scientist,08-Feb-24,35842,"London, Greater London",Recruitment
38,intellect group,Ghosted,Junior Data Scientist,08-Feb-24,35842,"London, Greater London",Recruitment
38,intellect group,Ghosted,Junior Data Scientist,08-Feb-24,35842,"London, Greater London",Recruitment
39,network it,Ghosted,Data Analyst,09-Feb-24,35000,"London, Greater London",Recruitment
39,network it,Ghosted,Data Analyst,09-Feb-24,35000,"London, Greater London",Recruitment
39,network it,Ghosted,Data Analyst,09-Feb-24,35000,"London, Greater London",Recruitment
40,vrs-uk,Ghosted,Pharmaceutical Scientist,12-Feb-24,25998,"London, Greater London",Recruitment
40,vrs-uk,Ghosted,Pharmaceutical Scientist,12-Feb-24,25998,"London, Greater London",Recruitment
40,vrs-uk,Ghosted,Pharmaceutical Scientist,12-Feb-24,25998,"London, Greater London",Recruitment
41,pep health,Rejected,Junior Data Scientist,14-Feb-24,27871,United Kingdom,Healthcare Technology
41,pep health,Rejected,Junior Data Scientist,14-Feb-24,27871,United Kingdom,Healthcare Technology
41,pep health,Rejected,Junior Data Scientist,14-Feb-24,27871,United Kingdom,Healthcare Technology
42,intec select,Ghosted,Data Analyst,16-Feb-24,35000,"London, Greater London",Recruitment
42,intec select,Ghosted,Data Analyst,16-Feb-24,35000,"London, Greater London",Recruitment
42,intec select,Ghosted,Data Analyst,16-Feb-24,35000,"London, Greater London",Recruitment
43,rightmove,Rejected,Data Analyst (Looker),16-Feb-24,35000,"London, Greater London",Real Estate
43,rightmove,Rejected,Data Analyst (Looker),16-Feb-24,35000,"London, Greater London",Real Estate
43,rightmove,Rejected,Data Analyst (Looker),16-Feb-24,35000,"London, Greater London",Real Estate
44,examworksuk,Rejected,Data and Automation Technician,17-Feb-24,37583,"London, Greater London",Healthcare
44,examworksuk,Rejected,Data and Automation Technician,17-Feb-24,37583,"London, Greater London",Healthcare
44,examworksuk,Rejected,Data and Automation Technician,17-Feb-24,37583,"London, Greater London",Healthcare Services
